구분,고유번호,종목코드,회사명,induty_code,법인등록번호
상장,00389387,065160,(주)라임,20501,1101111424384
상장,01058101,214260,(주)라파스,20423,1101113430040
상장,01466832,403360,(주)라피치,58221,1101113334101
상장,00561866,115390,(주)락앤락,22299,1648110035647
상장,00545114,084650,(주)랩지노믹스,70113,1345110059821
상장,01068348,217500,(주)러셀,292,1101115677864
상장,00364795,060300,(주)레드로버,59112,1101111282740
상장,00990396,266170,(주)레드우즈,59114,1101114339316
상장,00261355,038390,(주)레드캡투어,75210,1101111303140
상장,01011395,294140,(주)레몬,20501,1760110078920
상장,01468061,443250,(주)레뷰코퍼레이션,71310,1101115576438
상장,00330017,047420,(주)레이더스컴퍼니,58221,1101111210436
상장,00899459,228850,(주)레이언스,27111,1348110216516
상장,01161432,199550,(주)레이저옵텍,27112,1101112035552
상장,01255652,281740,(주)레이크머티리얼즈,204,1101116525723
상장,01261644,277810,(주)레인보우로보틱스,29280,1601110293889
상장,00106492,004790,(주)렉스엘이앤지,26,1101110071756
상장,01063990,215100,(주)로보로보,28909,1101115638741
상장,00536523,090360,(주)로보스타,29280,1101111655393
상장,00946030,108490,(주)로보티즈,29299,1101111670044
상장,00957568,214310,(주)로아앤코,71531,1311110191004
상장,01046203,204630,(주)로아앤코홀딩스,901,1101115488493
상장,01060735,223220,(주)로지스몬,529,1101115206283
상장,00238199,067730,(주)로지시스,62090,1101111293119
상장,00120377,000420,(주)로케트전기,28201,2001110002819
상장,00121729,004010,(주)롯데미도파,47111,1101110045983
상장,00406329,038060,(주)루멘스,2612,1301110038918
상장,00886792,162120,(주)루켄테크놀러지스,289,1348110145822
상장,01262023,253610,(주)루트락,467,1211110269473
상장,00549925,085370,(주)루트로닉,27199,1101111437379
상장,00620558,195990,(주)루트케이,29223,1701110271528
상장,00244862,033880,(주)룩소네이트,14120,1101111398224
상장,00842619,141080,(주)리가켐 바이오사이언스,70113,1601110206866
상장,00180263,016100,(주)리더스코스메틱,172,1341110021539
상장,00359614,056140,(주)리더컴,26410,1101111571755
상장,00601641,197210,(주)리드,29272,1311110047463
상장,00117708,012700,(주)리드코프,46712,1101110219398
상장,01275665,302550,(주)리메드,27199,1311110100021
상장,01385005,491000,(주)리브스메드,27112,1101114625385
상장,00440712,073570,(주)리튬포어스,339,1101111549108
상장,00352499,042500,(주)링네트,62021,1101111927958
상장,01035678,193250,(주)링크드,2629,1101113016999
상장,01764099,474650,(주)링크솔루션,29222,1355110281176
상장,01109955,219420,(주)링크제니시스,58222,1101112914459
상장,01136977,439090,(주)마녀공장,204,1101114810308
상장,00204208,027740,(주)마니커,1012,1345110004149
상장,00770312,195500,(주)마니커에프앤지,10121,1345110080529
상장,01297898,377480,(주)마음에이아이,58222,1601110362866
상장,00450214,088700,(주)마이스코,25912,1801110137992
상장,01267967,305090,(주)마이크로디지탈,271,1348110073536
상장,01206717,448780,(주)마이크로엔엑스,27191,1701110200585
상장,00568188,098120,(주)마이크로컨텍솔루션,2629,1845110022448
상장,00624378,424980,(주)마이크로투나노,26129,1101112059031
상장,00877174,169330,(주)마크로밀엠브레인,71400,1101111670234
상장,00261373,038290,(주)마크로젠,73909,1101111423576
상장,01709065,477850,(주)마키나락스,582,1101116605856
상장,00806972,127160,(주)매직마이크로,262,2801110076686
상장,00596677,093520,(주)매커스,4659,1101113581075
상장,00678096,141070,(주)맥스로텍,292,1741110009842
상장,00560991,088810,(주)맥스브로,2224,1358110124049
상장,00247762,036880,(주)맥시스템,26410,1101110892615
