단위,모법인,이름,A세분류,B1주업종,B1_2단,매출,판정근거
법인,,고려시멘트(주),소재제조,화학·소재,건축소재,,KSIC
법인,,(주)베스트플로우,인적서비스,전문서비스,,,KSIC
법인,,(주)쿨투,완제품제조,의료·보건,,,KSIC
법인,,(주)우영,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,모빌링크텔레콤(주),콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,극동제혁(주),완제품제조,의류·패션,,,KSIC
법인,,(주)한마음상호저축은행,금융,은행업,,,KSIC
법인,,그로웰전자(주),완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)부흥,완제품제조,의류·패션,,,KSIC
법인,,(주)퍼시픽글라스,소재제조,화학·소재,건축소재,,KSIC
법인,,(주)아이인프라,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)씨크롭,부품제조,금속,,,KSIC
법인,,외환신용카드주식회사,금융,여신전문금융업,,,KSIC
법인,,삼화기연(주),완제품제조,기계·운송기기,전력·중전기,,KSIC
법인,,대흥멀티미디어통신(주),완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,텔슨정보통신(주),완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)비이티,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,코오롱인터내셔널(주),도매·상사,다품목·범용,,,KSIC
법인,,엔써커뮤니티 주식회사,인적서비스,소프트웨어·IT,,,KSIC
법인,,써미트테크놀로지,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,코리아이앤디(주),부품제조,전자·정밀,전지·전원부품,,KSIC
법인,,(주)트래픽아이티에스,완제품제조,기계·운송기기,전력·중전기,,KSIC
법인,,주식회사 호성,소재제조,의류·패션,,,KSIC
법인,,(주)넥스텔,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,쓰리알(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)그로웰텔레콤,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)서통,소재제조,화학·소재,석유화학·기초,,KSIC
법인,,(주)테크메이트,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)한아시스템,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)엔에스아이,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)케이티씨텔레콤,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,주식회사 신한SIT,인적서비스,전문서비스,,,KSIC
법인,,(주)스마텔,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)동방라이텍,완제품제조,기계·운송기기,전력·중전기,,KSIC
법인,,(주)아이텍스필,완제품제조,의류·패션,,,KSIC
법인,,이수세라믹(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)코크렙제2호기업구조조정부동산투자회사,시설·자산운영,부동산·임대,,,KSIC
법인,,영풍산업주식회사,자원채취,에너지·자원·환경,,,KSIC
법인,,주식회사 모닷텔,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,광덕물산(주),완제품제조,의류·패션,,,KSIC
법인,,동원증권(주),금융,증권·투자매매업,,,KSIC
법인,,(주)우주통신,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,기라정보통신(주),완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,텔슨전자(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)하이콤정보통신,인적서비스,소프트웨어·IT,,,KSIC
법인,,미래에셋굿라이프혼합형자녀를위한펀드5-1,금융,자산운용업,,,KSIC
법인,,(주)한메엔에스,부품제조,전자·정밀,기판·PCB,,KSIC
법인,,(주)이지클럽,도매·상사,다품목·범용,,,KSIC
법인,,넷컴스토리지,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)모디아,인적서비스,소프트웨어·IT,,,KSIC
법인,,(주)성진산업,부품제조,금속,,,KSIC
법인,,(주)아이엠아이티,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,(주)맥시스템,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)슈마일렉트론,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)센추리,완제품제조,기계·운송기기,산업기계·로봇,,KSIC
법인,,(주)베네데스하이텍,도매·상사,다품목·범용,,,KSIC
법인,,(주)에스오케이,인적서비스,사업지원서비스,,,KSIC
법인,,세원텔레콤(주),완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,한강구조조정기금,금융,결제·핀테크,,,KSIC
법인,,(주)케이엔티,완제품제조,기계·운송기기,산업기계·로봇,,KSIC
법인,,대아리드선(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)국민은행,금융,은행업,,,KSIC
법인,,(주)월드텔레콤,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)업필,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)화림모드,완제품제조,의류·패션,,,KSIC
법인,,대아건설(주),시공·건설,건설·시공,,,KSIC
법인,,(주)창민테크,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,씨제이엔터테인먼트(주),콘텐츠·SW,미디어·광고·영상,,,KSIC
법인,,(주)대백쇼핑,소매,다품목·범용,,,KSIC
법인,,(주)지니웍스,소재제조,의류·패션,,,KSIC
법인,,신광기업(주),완제품제조,기계·운송기기,전력·중전기,,KSIC
법인,,유진종합개발(주),소재제조,화학·소재,건축소재,,KSIC
법인,,(주)휘튼,인적서비스,교육,,,KSIC
법인,,엠바이엔(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,두산건설(주),시공·건설,건설·시공,,,KSIC
법인,,(주)대호,시공·건설,건설·시공,,,KSIC
법인,,(주)한신코퍼레이션,콘텐츠·SW,미디어·광고·영상,,,KSIC
법인,,금강화섬(주),소재제조,의류·패션,,,KSIC
법인,,우리증권(주),금융,증권·투자매매업,,,KSIC
법인,,주식회사 피코소프트,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,바이오시스,완제품제조,의료·보건,,,KSIC
법인,,(주)윌텍정보통신,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,삼도물산(주),도매·상사,다품목·범용,,,KSIC
법인,,(주)현대멀티캡,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,씨아이에스(주),완제품제조,기계·운송기기,산업기계·로봇,,KSIC
법인,,코리아퍼시픽01호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,코리아퍼시픽02호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,(주)신양오라컴디스플레이,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,미래에셋증권(주),금융,증권·투자매매업,,,KSIC
법인,,(주)이룸지엔지,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,(주)에스와이이노베이션,완제품제조,화학·소재,제지·포장,,KSIC
법인,,코리아퍼시픽03호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,코리아퍼시픽04호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,(주)유아이에너지,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,아시아퍼시픽14호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,아시아퍼시픽13호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,아시아퍼시픽10호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,현대에이블기업인수목적1호(주),금융,증권·투자매매업,,,KSIC
법인,,아시아퍼시픽11호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,아시아퍼시픽12호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,주식회사 호반산업,시공·건설,건설·시공,,,KSIC
법인,,(주)실리콘화일,부품제조,전자·정밀,반도체·소자,,KSIC
법인,,(주)비엔씨컴퍼니,도매·상사,금속,,,KSIC
