기업집단명,소속회사명,법인등록번호,KSIC,영위업종,종업원수,매출액,기업공개일,A세분류,A대분류,B1주업종,B1_2단,묶음노드,모수계층,판정근거
오씨아이,행복도시태양광발전소(주),1311110336311,D3511,발전업,0,433,,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
효성,행복두드리미(주),1101115205574,N7599,그 외 기타 사업지원 서비스업,100,"3,035",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7599
에스케이,행복디딤(주),1101116984325,N7512,인력 공급업,27,860,,인적서비스,서비스,고용·인력,,,T2,KSIC N7512
에스케이,행복모아(주),1501110226204,S9691,세탁업,598,"50,586",,인적서비스,서비스,사업지원서비스,,,T2,KSIC S9691
에스케이,행복모음(주),2301110318187,N7512,인력 공급업,13,751,,인적서비스,서비스,고용·인력,,,T2,KSIC N7512
에스케이,행복믿음(주),1101118079215,N7512,인력 공급업,62,"2,056",,인적서비스,서비스,고용·인력,,,T2,KSIC N7512
에스케이,행복채움(주),1760110130902,N7421,건물 및 산업설비 청소업,141,"7,585",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7421
에스케이,행복키움(주),1101116984672,N7512,인력 공급업,38,"1,839",,인적서비스,서비스,고용·인력,,,T2,KSIC N7512
에스케이,행복한울(주),1101117197167,N7599,그 외 기타 사업지원 서비스업,81,"2,487",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7599
중앙,허스트중앙(유),1101140031613,J5812,"신문, 잡지 및 정기간행물 출판업",179,"60,010",,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5812
DL,험프리에스엘큐원(주),1101114340339,L6811,부동산 임대업,1,"11,882",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6811
BS,헬시피플(주),2001110533038,F4111,주거용 건물 건설업,2,10,,시공·건설,건설,건설·시공,,,T2,KSIC F4111
유진,현대개발(주),2054110009963,C2332,"콘크리트, 레미콘 및 기타 시멘트, 플라스터 제품 제조업",30,"30,423",,소재제조,제조,화학·소재,건축소재,,T2,KSIC C2332
현대자동차,현대건설(주),1101110007909,F4122,토목시설물 건설업,"6,900","16,512,462",1984/12/22,시공·건설,건설,건설·시공,,,T2,KSIC F4122
현대자동차,현대글로비스(주),1101112177388,H5292,수상 운송지원 서비스업,"1,901","22,531,796",2005/12/26,운송·보관,서비스,창고·물류,,,T2,KSIC H5292
현대자동차,현대도시개발(주),1651110006964,L6812,부동산 개발 및 공급업,18,"9,490",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
현대자동차,현대로템(주),1942110036336,C3120,철도장비 제조업,"4,550","5,694,995",2013/10/30,완제품제조,제조,기계·운송기기,철도·특수차량,,T2,KSIC C3120
현대자동차,현대머티리얼(주),1101114364008,G4680,상품 종합 도매업,65,"134,735",,도매·상사,유통,다품목·범용,,,T2,KSIC G4680
현대자동차,현대모비스(주),1101110215536,C3032,자동차 차체용 신품 부품 제조업,"12,236","36,256,823",1989/09/05,부품제조,제조,기계·운송기기,완성차·부품,,T2,KSIC C3032
현대자동차,현대무브(주),1341110071160,M7153,경영 컨설팅 및 공공 관계 서비스업,0,0,,,,,,,모수밖,매출 0
현대자동차,현대비앤지스틸(주),1101110065395,C2412,"철강 압연, 압출 및 연신제품 제조업",486,"739,198",1987/03/03,소재제조,제조,금속,철강,,T2,KSIC C2412
현대자동차,현대스틸산업(주),1614110009437,C2511,구조용 금속제품 제조업,220,"222,877",,부품제조,제조,금속,,,T2,KSIC C2511
현대자동차,현대스틸파이프 (주),2301110399905,C2413,철강관 제조업,919,"861,880",,소재제조,제조,금속,강관·형강·선재,,T2,KSIC C2413
현대해상화재보험,현대씨앤알(주),1101110563901,N7410,사업시설 유지․관리 서비스업,"3,043","225,740",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7410
