고유번호,법인등록번호,회사명,최대주주연도,출자연도,오류
00563518,1341110067418,비나텍주식회사,2025,2025,
00360577,1101110774376,(주)엑사이엔씨,2025,2025,
00238153,1301110026228,(주)파세코,2025,2025,
01576102,1101117896090,주식회사 미래에셋글로벌위탁관리부동산투자회사,2025,2025,
01062867,1101115633585,(주)디알텍,2025,2025,
00359623,1341110026480,우리산업홀딩스(주),2025,2025,
00240857,1101110414302,(주)바이오스마트,2025,2025,
00306162,1201110050104,(주)상상인,2025,2025,
00138260,1201110002189,(주)SIMPAC,2025,2025,
00485177,1101110673966,(주)일진파워,2025,2025,
00261355,1101111303140,(주)레드캡투어,2025,2025,
00164724,1344110001519,현대엘리베이터(주),2025,2025,
00423177,1101111799513,(주)텔레칩스,2025,2025,
00231442,1101111201071,(주)디지틀조선일보,2025,2025,
01013311,1101114063535,(주)헥토이노베이션,2025,2025,
01035368,1201110330051,(주)티에프이,2025,2025,
00961570,1211110078395,(주)신도기연,2025,2025,
01428249,1101117343744,케이프이에스제4호기업인수목적 주식회사,,,
00997812,1346110062393,(주)코미코,2025,2025,
00695969,1101113487546,(주)동운아나텍,2025,2025,
00139764,1101110192635,(주)에넥스,2025,2025,
00334624,1101111698830,(주)팍스넷,2025,2025,
00128926,1901110005551,삼현철강(주),2025,2025,
00612489,1601110072738,아이쓰리시스템(주),2025,2025,
00140052,1311110002772,(주)에이스침대,2025,2025,
00367455,1201110140484,현우산업(주),2025,2025,
01345724,1942110291237,주식회사 타임기술,2025,2025,
00165361,1311110003655,(주)휴코드홀딩스,2025,2025,
00105606,2059110000169,(주)금호에이치티,2025,2025,
00133618,1101110015853,우양피앤엘(주),2025,2025,
01142075,1101112139776,㈜핑거,2025,2025,
00201742,1101110529820,(주)유라테크,2025,2025,
00133812,1801110015932,세방(주),2025,2025,
00666064,1101111673816,(주)셀바스에이아이,2025,2025,
00608839,1341110095394,(주)에이루트,2025,2025,
01018802,1601110112716,(주)엔솔바이오사이언스,2025,2025,
00202839,1348110003715,한창산업(주),2025,2025,
00400060,1101111784457,(주)이씨에스텔레콤,2025,2025,
00158112,1101110008882,한국수출포장공업(주),2025,2025,
01397620,1601110354045,주식회사 루닛,2025,2025,
00139083,1701110008913,아진산업(주),2025,2025,
00163196,1101110048987,한일철강(주),2025,2025,
00994994,1101115248376,(주)나노,2025,2025,
00201733,1101110770548,티제이미디어(주),2025,2025,
01047451,1101115530111,(주)셀바스헬스케어,2025,2025,
00569646,1311110110921,(주)영우디에스피,2025,2025,
00423690,1101112559411,(주)삼성출판사,2025,2025,
00152260,1115110005269,(주)카스,2025,2025,
00398668,1341110065636,(주)휴비츠,2025,2025,
00340272,1101111716898,(주)에스폴리텍,2025,2025,
00152039,1615110000037,(주)SG글로벌,2025,2025,
00587466,1101113520627,KPX홀딩스(주),2025,2025,
01158553,1954110024732,켄코아에어로스페이스(주),2025,2025,
00141413,1801110027078,영화금속(주),2025,2025,
00993931,1648110073035,동양파일(주),2025,2025,
01128613,1101115891943,주식회사 화승엔터프라이즈,2025,2025,
00796994,1717110086312,조선선재(주),2025,2025,
00353878,2052110005288,다스코(주),2025,2025,
00122579,1101110005995,(주)BYC,2025,2025,
01367586,2111110040569,(주)제이아이테크,2025,2025,
00156354,1942110000399,지엠비코리아(주),2025,2025,
00551920,1601110100688,(주)네오팜,2025,2025,
01488320,1358110389651,주식회사 필에너지,2025,2025,
00108612,1341110010839,주식회사 디에스단석,2025,2025,
00149293,1101110012809,(주)신한은행,2025,2025,
01305869,1101113313254,(주)세니젠,2025,2025,
00561723,1341110078407,(주)쏘닉스,2025,2025,
00112819,1101110409858,데코앤에프,2025,2025,
00160418,1812110000443,한국무브넥스(주),2025,2025,
01146220,1348110110148,팸텍주식회사,2025,2025,
00145552,1101110008600,(주)이수화학                             ,2025,2025,
00167031,1345110001228,(주)흥국,2025,2025,
00449379,1942110042721,도이치모터스(주),2025,2025,
00239514,1348110004664,(주)삼진엘앤디,2025,2025,
00302236,1101110560824,태양3C(주),2025,2025,
00191287,1741110002630,대동금속(주),2025,2025,
01144028,1101112233560,(주)씨티케이,2025,2025,
00121686,1345110004412,엠케이전자(주),2025,2025,
00160232,1101110377055,(주)케이에스에스 해운,2025,2025,
00409371,1348110056871,인베니아(주),2025,2025,
00525882,1101112541575,(주)크레버스,2025,2025,
01516368,1101116908870,(주)산돌,2025,2025,
00892526,1101111967243,(주)디케이앤디,2025,2025,
00410997,1101111015779,(주)누리플랜,2025,2025,
01305249,1101116416683,스톤브릿지벤처스(주),2025,2025,
00494218,1101111651242,(주)엘엠에스,2025,2025,
00244419,1312110003976,디에스티(주),2025,2025,
00536888,1101111621956,(주)케이알엠,2025,2025,
00128227,1347110000333,삼정펄프(주),2025,2025,
01080252,1344110044981,주식회사 넥스틴,2025,2025,
01416572,1101117262754,(주)세림비앤지,2025,2025,
00352000,1101111522534,(주)하우리,2025,2025,
01402995,1348110121012,(주)케이엔에스,2025,2025,
00158316,1101110505614,(주)NICE홀딩스,2025,2025,
01494154,1101116728781,지니너스 주식회사,2025,2025,
01021639,1101110668579,나라셀라(주),2025,2025,
00173661,1101110030463,에스지신성건설주식회사,2025,2025,
00173032,1201110004218,동화기업(주),2025,2025,
00480455,1942110066763,STX엔진(주),2025,2025,
00520610,1543110010576,씨큐브(주),2025,2025,
00133751,1801110052091,세명전기공업(주),2025,2025,
00137234,1301110008961,(주)모베이스전자,2025,2025,
00255433,1353110002964,라온시큐어(주),2025,2025,
00389970,1101111435810,(주)다날,2025,2025,
00363592,1101111673585,(주)한컴위드,2025,2025,
01116344,1601110106727,이비테크(주),2025,2025,
00106313,1101110134877,금호건설(주),2025,2025,
01309421,1348110105438,(주)제이엔비,2025,2025,
00365934,1243110041444,(주)코세스,2025,2025,
00828789,1101114382612,대성산업(주),2025,2025,
01112700,1101113602524,(주)에스엘에스바이오,2025,2025,
00125576,1748110004244,(주)체시스,2025,2025,
01203376,1311110475341,(주)유비쿼스,2025,2025,
01365384,1801111059509,이성씨엔아이(주),2025,2025,
00855163,2301110172244,미원화학(주),2025,2025,
00584362,1101112359572,(주)케이엑스넥스지,2025,2025,
01023822,1101114922286,(주)메디젠휴먼케어,2025,2025,
00372688,1101111577604,(주)티사이언티픽,2025,2025,
00965512,1311110241362,주식회사 라온텍,2025,2025,
00441304,1311110060978,가온그룹(주),2025,2025,
00619507,1701110202416,와이씨켐(주),2025,2025,
01497124,1101116929959,캡스톤파트너스(주),2025,2025,
00269852,1101111398117,(주)폴라리스오피스,2025,2025,
00472890,1955110069249,(주)동국알앤에스,2025,2025,
00456218,1101110609771,(주)모두투어네트워크,2025,2025,
00127255,1101110010001,(주)삼영,2025,2025,
00531917,1845110014990,(주)톱텍,2025,2025,
01134216,1101113161306,주식회사 트루엔,2025,2025,
00614593,1348110037954,(주)넥스트아이,2025,2025,
00114552,1101110037740,(주)도화엔지니어링,2025,2025,
00116301,1101110137491,(주)NI스틸,2025,2025,
00163318,1101110046197,(주)모헨즈,2025,2025,
00121570,1101110139190,문배철강(주),2025,2025,
00142865,1301110009274,(주)WISCOM,2025,2025,
00490151,1358110090117,(주)파트론,2025,2025,
00138747,1741110000098,(주)아세아텍,2025,2025,
00483735,1348110069163,해성옵틱스(주),2025,2025,
00231105,1101110404361,(주)동성화인텍,2025,2025,
01030503,1348110260331,(주)우진엔텍,2025,2025,
01792825,1101118766820,대신밸런스제17호기업인수목적 주식회사,2025,2025,
01350869,1101116981206,(주)우리금융지주,2025,2025,
01493535,1101117588506,(주)모비데이즈,2025,2025,
00180795,1301110008052,(주)인팩,2025,2025,
00646732,1801110618091,(주)진양홀딩스,2025,2025,
01335578,1101116895217,(주)애니플러스,2025,2025,
00564562,1101113136383,(주)엠씨넥스,2025,2025,
00105040,1243110003006,(주)뉴인텍,2025,2025,
00152437,1801110051770,(주)케이프,2025,2025,
00173999,1101110217607,(주)유성티엔에스,2025,2025,
00862312,1101112860173,(주)포스뱅크,2025,2025,
